Date,Description,Category,Amount,Type
31-10-2018,Salary Credited,Paycheck,35676,Credit
31-10-2018,Non Salary Benefits,Paycheck,6675,Credit
31-10-2018,EPF Employer,Investment,2040,Debit
31-10-2018,EPF Employee,Investment,2040,Debit
31-10-2018,Professional Tax (State),TaxAndFees,200,Debit
31-10-2018,Gratuity,Investment,818,Debit
31-10-2018,Medical Insurance Employer,Insurance,1577,Debit
,,,,
01-11-2018,Auto,Transport,30,Debit
01-11-2018,Idli office,OutsideFood,25,Debit
01-11-2018,Rapido,Transport,35,Debit
02-11-2018,Maid C310,Utilities,500,Debit
02-11-2018,Water C310,Utilities,200,Debit
02-11-2018,Idli office,OutsideFood,15,Debit
02-11-2018,Geeta,Friends,50,Debit
02-11-2018,Lunch office,OutsideFood,55,Debit
02-11-2018,Rapido to office,Transport,44,Debit
02-11-2018,Rapido inorbit,Transport,55,Debit
02-11-2018,MacD Burger,OutsideFood,170,Debit
03-11-2018,"Snacks - maggi, chips, etc.",Snacks,115,Debit
03-11-2018,Rice,Grocery,20,Debit
03-11-2018,Veggies,Grocery,40,Debit
04-11-2018,Fasos Swiggy,OutsideFood,145,Debit
04-11-2018,Swiggy Fasos,OutsideFood,86,Debit
04-11-2018,Swiggy Keventers,OutsideFood,102,Debit
04-11-2018,Eagle Pizza,OutsideFood,168,Debit
05-11-2018,Daab,Grocery,25,Debit
05-11-2018,Lunch,OutsideFood,40,Debit
05-11-2018,Banana,Grocery,30,Debit
05-11-2018,Tatasky DTH,Family,200,Debit
05-11-2018,Rapido,Transport,44,Debit
05-11-2018,Auto,Transport,10,Debit
06-11-2018,Daab,Grocery,25,Debit
06-11-2018,Auto,Transport,60,Debit
06-11-2018,Bread,Grocery,45,Debit
06-11-2018,Ticket,Entertainment,50,Debit
06-11-2018,Idli office,OutsideFood,30,Debit
06-11-2018,Ticket park,Entertainment,30,Debit
06-11-2018,Karachi Bakery,Snacks,65,Debit
07-11-2018,Snacks,Snacks,33,Debit
07-11-2018,Toothbrush,DailyNeeds,50,Debit
07-11-2018,Panipuri,OutsideFood,20,Debit
07-11-2018,Jagan cigs,Friends,45,Debit
08-11-2018,Idli office,OutsideFood,25,Debit
08-11-2018,Auto,Transport,40,Debit
08-11-2018,Puff,Snacks,10,Debit
09-11-2018,Grocery,Grocery,250,Debit
09-11-2018,Donation,Donation,110,Debit
09-11-2018,Auto,Transport,20,Debit
09-11-2018,Panipuri,OutsideFood,20,Debit
10-11-2018,Aloo Bhujia,Snacks,10,Debit
10-11-2018,Tomato Cucumber,Grocery,20,Debit
10-11-2018,Banana,Grocery,30,Debit
10-11-2018,Yoga Mat Flipkart,Shopping,566,Debit
10-11-2018,Furlenco Furniture,Utilities,2000,Debit
11-11-2018,Wifi C310,Utilities,400,Debit
11-11-2018,Mixture,Snacks,5,Debit
11-11-2018,For Geeta stationary,Friends,30,Debit
11-11-2018,Rice,Grocery,25,Debit
12-11-2018,Chips,Snacks,15,Debit
12-11-2018,Auto,Transport,20,Debit
12-11-2018,Lunch,OutsideFood,55,Debit
12-11-2018,To Abhishika,Friends,30,Debit
13-11-2018,To Abhishika,Friends,20,Debit
13-11-2018,Panipuri,OutsideFood,40,Debit
13-11-2018,To Jagan,Friends,30,Debit
13-11-2018,Rapido,Transport,26,Debit
13-11-2018,Banana,Grocery,30,Debit
13-11-2018,Grocery,Grocery,70,Debit
13-11-2018,Lunch,OutsideFood,55,Debit
13-11-2018,Auto,Transport,30,Debit
14-11-2018,Vodafone Recharge,Utilities,35,Debit
14-11-2018,Lunch,OutsideFood,55,Debit
14-11-2018,Rapido,Transport,44,Debit
14-11-2018,Auto,Transport,10,Debit
15-11-2018,APY Contribution,Investment,248,Debit
15-11-2018,MacD Burger,OutsideFood,48,Debit
15-11-2018,Shampoo,DailyNeeds,64,Debit
15-11-2018,Band aid,Medical,25,Debit
15-11-2018,"Socks, Underwear",Shopping,500,Debit
15-11-2018,Doritos,Snacks,45,Debit
15-11-2018,Lunch,OutsideFood,70,Debit
15-11-2018,Rapido,Transport,44,Debit
15-11-2018,Auto,Transport,10,Debit
16-11-2018,Swiggy,OutsideFood,126,Debit
16-11-2018,Lunch,OutsideFood,40,Debit
16-11-2018,Rapido,Transport,44,Debit
16-11-2018,Auto,Transport,10,Debit
17-11-2018,Rapido,Transport,29,Debit
17-11-2018,TShirt,Shopping,500,Debit
17-11-2018,Salt,Grocery,20,Debit
17-11-2018,Maggi,Snacks,24,Debit
17-11-2018,Clothes Purchase MAX,Shopping,3570,Debit
17-11-2018,Subway,OutsideFood,190,Debit
17-11-2018,Auto,Transport,20,Debit
17-11-2018,Bohemian Rhapsody movie,Entertainment,337,Debit
18-11-2018,Sandwich Zomato,OutsideFood,120,Debit
18-11-2018,Rapido,Transport,40,Debit
18-11-2018,Auto,Transport,10,Debit
18-11-2018,Milk,Grocery,60,Debit
18-11-2018,Ezee,DailyNeeds,50,Debit
18-11-2018,Icecream,Snacks,55,Debit
18-11-2018,Panipuri,OutsideFood,40,Debit
18-11-2018,Clothes Shopping Central,Shopping,7150,Debit
19-11-2018,Swiggy,OutsideFood,142,Debit
19-11-2018,Auto,Transport,50,Debit
19-11-2018,Panipuri,OutsideFood,40,Debit
19-11-2018,"Snacks- Puff, etc.",Snacks,66,Debit
19-11-2018,Dosa,OutsideFood,35,Debit
19-11-2018,to Amish,Friends,10,Debit
20-11-2018,Paneer combo lunch,OutsideFood,70,Debit
20-11-2018,Rapido,Transport,44,Debit
20-11-2018,Rapido,Transport,26,Debit
21-11-2018,22 Inch Briefcase Flipkart,Shopping,2184,Debit
21-11-2018,Shoes PUMA Flipkart,Shopping,1949,Debit
21-11-2018,Icecream,Snacks,20,Debit
21-11-2018,Nivea Cream,DailyNeeds,75,Debit
21-11-2018,Lunch,OutsideFood,53,Debit
21-11-2018,Rapido,Transport,44,Debit
21-11-2018,Auto,Transport,10,Debit
21-11-2018,Lizol,DailyNeeds,80,Debit
22-11-2018,Idli Vada office,OutsideFood,20,Debit
22-11-2018,Ola Cab,Transport,70,Debit
22-11-2018,Lunch,OutsideFood,40,Debit
23-11-2018,Socks,Shopping,200,Debit
23-11-2018,"Snacks -Maggi, etc.",Snacks,80,Debit
23-11-2018,Rapido,Transport,44,Debit
23-11-2018,Rapido,Transport,65,Debit
24-11-2018,Grocery sabji,Grocery,20,Debit
24-11-2018,Pizza Hut Swiggy,OutsideFood,180,Debit
24-11-2018,Moongfali,Grocery,45,Debit
24-11-2018,Samosa Jalebi,Snacks,30,Debit
25-11-2018,Rapido,Transport,60,Debit
25-11-2018,Rapido,Transport,50,Debit
25-11-2018,Auto,Transport,10,Debit
25-11-2018,Roasted Coffee House Dinner,OutsideFood,360,Debit
25-11-2018,Taco Bell,OutsideFood,140,Debit
25-11-2018,Cab,Transport,100,Debit
26-11-2018,Rapido,Transport,44,Debit
26-11-2018,Charger,Shopping,120,Debit
26-11-2018,Dosa Idli,OutsideFood,48,Debit
26-11-2018,Auto,Transport,10,Debit
26-11-2018,Webcheckin BBS flight,Travel,99,Debit
26-11-2018,Bonda,OutsideFood,20,Debit
26-11-2018,Panipuri,OutsideFood,20,Debit
27-11-2018,Bhujia,Snacks,20,Debit
27-11-2018,Paratha Swiggy,OutsideFood,66,Debit
27-11-2018,Auto,Transport,10,Debit
27-11-2018,Lunch,OutsideFood,70,Debit
27-11-2018,To Manav,Friends,55,Debit
28-11-2018,Rent + Maintenance,Utilities,10000,Debit
28-11-2018,Auto,Transport,40,Debit
28-11-2018,"Snacks - puff, panipuri, etc",Snacks,40,Debit
28-11-2018,Panipuri,OutsideFood,40,Debit
